Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2019,Mike Foltynewicz,ATL,46.2,186,7.7143,2.5071,3.0769,1.5429,0.2151,0.0699,0.1452,0.263473053,1.2214,0.288,0.1528,4.564008511,4.424103359,10811
2019,Asher Wojciechowski,BAL,31.2,141,9.9474,2.2737,4.375,1.7053,0.2482,0.0567,0.1915,0.302325581,1.4842,0.3708,0.3606,4.508744955,4.872352931,10836
2019,Adam Kolarek,2 Tms,24,104,7.875,4.125,1.9091,1.125,0.2019,0.1058,0.0962,0.266666666,1.4583,0.3182,0.5917,4.839009476,4.125728838,10843
2019,Jacob deGrom,NYM,78.1,298,10.2255,2.6426,3.8696,0.5745,0.2987,0.0772,0.2215,0.194656488,0.9447,0.2614,0.4722,2.843796553,3.5630508,10954
2019,Merrill Kelly,ARI,73,307,5.9178,4.0685,1.4545,1.1096,0.1564,0.1075,0.0489,0.268939393,1.4247,0.2884,0.3319,4.940036873,5.435500611,11156
2019,Vince Velasquez,PHI,48.2,204,8.3219,3.1438,2.6471,2.2192,0.2206,0.0833,0.1373,0.275280898,1.3562,0.2913,0.2682,5.803048798,4.968267339,11189
2019,Casey Sadler,2 Tms,22.1,80,5.6418,1.6119,3.5,0.403,0.175,0.05,0.125,0.194444444,0.806,0.2167,0.5114,3.214009476,4.146092956,11209
2019,Tommy Kahnle,NYY,26.1,109,12.9874,3.076,4.2222,2.0506,0.3486,0.0826,0.2661,0.237113402,1.2152,0.3148,0.3906,4.543125082,3.091887206,11384
2019,Jose Quintana,CHC,73.1,317,7.1182,3.3136,2.1481,0.8591,0.183,0.0852,0.0978,0.304832713,1.4864,0.3363,0.2372,4.059464405,4.798719688,11423
2019,Drew Pomeranz,2 Tms,42.2,183,10.7578,3.1641,3.4,1.6875,0.2787,0.082,0.1967,0.298136645,1.4766,0.3774,0.3832,4.52650845,4.047133365,11426
